k,regularization,iterations,Validation RMS,Testing RMS
10.0,0.1,15.0,0.94880325,Infinity
10.0,0.1,30.0,0.94460565,Infinity
10.0,0.2,15.0,0.9210548,Infinity
10.0,0.2,30.0,0.9205755,Infinity
10.0,0.3,15.0,0.94379586,Infinity
10.0,0.3,30.0,0.94350594,Infinity
